Klebsiella | número de entradas: 2459 | date: 2023-05-03 10:44:18.610467
GCA_029909755.1 SAMN33560847
GCF_028596205.1 SAMN32977652
GCF_028583665.1 SAMN32542161
GCF_002852675.2 SAMN07609131
GCF_003038035.2 SAMN08624641
GCA_028472765.1 SAMN09688132
GCA_028472745.1 SAMN13567275
GCA_028472725.1 SAMN13567240
GCA_028472545.1 SAMN13567230
GCF_028471925.1 SAMN32946429
GCF_028226565.1 SAMN31207030
GCF_028226435.1 SAMN31207031
GCF_028226215.1 SAMN31207032
GCF_028226055.1 SAMN31207033
GCF_028225915.1 SAMN31207034
GCF_028225725.1 SAMN31207035
GCF_028225535.1 SAMN31207036
GCF_028225315.1 SAMN31207037
GCF_028224955.1 SAMN31207038
GCF_028224675.1 SAMN31207039
GCF_028224355.1 SAMN31207040
GCF_028224025.1 SAMN31207041
GCF_028223855.1 SAMN31207042
GCF_028223615.1 SAMN31207043
GCF_028223415.1 SAMN31207044
GCF_028223205.1 SAMN31207045
GCF_028222915.1 SAMN31207046
GCF_028222535.1 SAMN31207047
GCF_028222115.1 SAMN31207048
GCF_028221855.1 SAMN31207049
GCF_028221515.1 SAMN31207050
GCF_028221225.1 SAMN31207051
GCF_028221125.1 SAMN31207053
GCF_028221105.1 SAMN31207054
GCF_028221085.1 SAMN31207055
GCF_028221065.1 SAMN31207056
GCF_028221045.1 SAMN31207057
GCF_028221025.1 SAMN31207058
GCF_028221005.1 SAMN31207059
GCF_028220985.1 SAMN31207060
GCF_028220965.1 SAMN31207061
GCF_028220865.1 SAMN31207062
GCF_028220765.1 SAMN31207063
GCF_028220555.1 SAMN31207064
GCF_028220175.1 SAMN31207065
GCF_028220015.1 SAMN31207066
GCF_028219995.1 SAMN31207067
GCF_028219975.1 SAMN31207068
GCF_028219955.1 SAMN31207069
GCF_028219935.1 SAMN31207070
GCF_028219835.1 SAMN31207071
GCF_028219695.1 SAMN31207072
GCF_028219495.1 SAMN31207073
GCF_028219375.1 SAMN31207074
GCF_019928625.2 SAMN18874709
GCF_027945215.1 SAMN32737190
GCF_027942215.1 SAMN27398041
GCF_027942195.1 SAMN27398042
GCF_027942175.1 SAMN27398043
GCF_027941975.1 SAMN07766632
GCF_027913355.1 SAMN32661441
GCF_027886565.1 SAMN15907136
GCF_027627785.1 SAMN28911479
GCF_027595845.1 SAMN16387657
GCF_027595745.1 SAMN16387655
GCF_027595705.1 SAMN16387652
GCF_027595685.1 SAMN16387643
GCF_027595665.1 SAMN16387639
GCF_027595645.1 SAMN16387635
GCF_027595625.1 SAMN16387634
GCF_027595605.1 SAMN16387632
GCF_027595585.1 SAMN16387630
GCF_027595545.1 SAMN16387624
GCF_027595505.1 SAMN16387622
GCF_027595485.1 SAMN16387621
GCF_027594945.1 SAMN27753784
GCF_027594925.1 SAMN27753785
GCF_027594905.1 SAMN27753786
GCF_027594885.1 SAMN27753787
GCF_027577885.1 SAMN31152637
GCA_018383735.5 SAMN18928740
GCF_027558835.1 SAMN28016298
GCF_027558815.1 SAMN28016299
GCF_027558775.1 SAMN28016300
GCF_026069095.1 SAMN31592763
GCF_026069065.1 SAMN31592762
GCF_025676845.1 SAMN31261057
GCF_025579425.1 SAMN31152643
GCF_025579525.1 SAMN31152642
GCF_025579405.1 SAMN31152641
GCF_025676585.1 SAMN31261056
GCF_025579445.1 SAMN31152640
GCF_025579125.1 SAMN31152639
GCF_025676565.1 SAMN31261055
GCF_027474365.1 SAMN32317434
GCA_027360555.1 SAMN32217148
GCF_014050515.2 SAMN12648330
GCF_027126715.1 SAMN23708555
GCF_026967755.1 SAMN31390135
GCF_026967735.1 SAMN31390134
GCF_026967715.1 SAMN30838366
GCF_026967695.1 SAMN31152638
GCF_026821715.1 SAMN30914361
GCF_026802135.1 SAMN31854496
GCF_928375135.1 SAMEA12561091
GCF_026684275.1 SAMN25511760
GCF_026651915.1 SAMN31269456
GCF_928375965.1 SAMEA12561090
GCF_928371855.1 SAMEA12561087
GCF_026626285.1 SAMN31838583
GCA_026626265.1 SAMN31843363
GCF_026626245.1 SAMN31843362
GCF_026626225.1 SAMN31843289
GCF_026626205.1 SAMN31837087
GCF_026626185.1 SAMN31836897
GCF_026626165.1 SAMN31831552
GCF_026626105.1 SAMN31836844
GCF_026626085.1 SAMN31836736
GCF_026626065.1 SAMN31832001
GCF_026626045.1 SAMN31832933
GCF_002753375.2 SAMEA3357374
GCF_026427615.1 SAMN21565548
GCF_026427375.1 SAMN21529401
GCF_026248225.1 SAMN29934025
GCF_026248005.1 SAMN29934023
GCF_026247985.1 SAMN29934022
GCF_026247965.1 SAMN29934021
GCF_026247945.1 SAMN29934020
GCF_026247925.1 SAMN29934015
GCF_026247905.1 SAMN29934016
GCA_905233095.2 SAMEA7962816
GCA_905233015.2 SAMEA7962810
GCA_905233005.2 SAMEA7962809
GCA_905232995.2 SAMEA7962808
GCA_905232985.2 SAMEA7962807
GCA_905232975.2 SAMEA7962806
GCA_905232965.2 SAMEA7962805
GCA_905232945.2 SAMEA7962802
GCA_905232925.2 SAMEA7962801
GCA_905232895.2 SAMEA7962799
GCA_905232885.2 SAMEA7962797
GCA_905232875.2 SAMEA7962796
GCA_905232865.2 SAMEA7962795
GCA_905232855.2 SAMEA7962794
GCA_905232795.2 SAMEA7962788
GCA_905232765.2 SAMEA7962785
GCA_905232755.2 SAMEA7962784
GCA_905232725.2 SAMEA7962781
GCA_905232705.2 SAMEA7962780
GCA_905232085.2 SAMEA7962778
GCA_905232065.2 SAMEA7962777
GCA_905231955.2 SAMEA7962776
GCF_905232115.2 SAMEA7962775
GCA_905231965.2 SAMEA7962774
GCA_905231945.2 SAMEA7962769
GCA_905232095.2 SAMEA7962768
GCA_905232055.2 SAMEA7962765
GCA_905232015.2 SAMEA7962764
GCA_905232105.2 SAMEA7962762
GCA_905232025.2 SAMEA7962761
GCA_905232715.2 SAMEA7962758
GCA_905232675.2 SAMEA7962757
GCA_905232665.2 SAMEA7962756
GCA_905232635.2 SAMEA7962755
GCA_905232615.2 SAMEA7962751
GCA_905232585.2 SAMEA7962750
GCA_905232595.2 SAMEA7962749
GCA_905232575.2 SAMEA7962747
GCA_905232565.2 SAMEA7962745
GCA_905232545.2 SAMEA7962744
GCA_905232505.2 SAMEA7962741
GCA_905232405.2 SAMEA7962730
GCA_905232385.2 SAMEA7962727
GCA_905219335.2 SAMEA7853288
GCA_905219345.2 SAMEA7853287
GCA_905219295.2 SAMEA7853284
GCA_905219275.2 SAMEA7853281
GCA_905219265.2 SAMEA7853280
GCA_905219225.2 SAMEA7853277
GCA_905219235.2 SAMEA7853276
GCA_905219215.2 SAMEA7853275
GCA_905217765.2 SAMEA7853271
GCA_905219185.2 SAMEA7853269
GCA_905219175.2 SAMEA7853268
GCA_905219165.2 SAMEA7853267
GCA_905219125.2 SAMEA7853266
GCA_905219155.2 SAMEA7853265
GCA_905219145.2 SAMEA7853264
GCA_905219105.2 SAMEA7853263
GCA_905219115.2 SAMEA7853262
GCA_905219135.2 SAMEA7853261
GCA_905219095.2 SAMEA7853260
GCA_905219085.2 SAMEA7853258
GCA_905219075.2 SAMEA7853257
GCA_905217745.2 SAMEA7853255
GCA_905217805.2 SAMEA7853254
GCA_905219055.2 SAMEA7853253
GCA_905219005.2 SAMEA7853252
GCA_905219035.2 SAMEA7853251
GCA_905218995.2 SAMEA7853250
GCA_905219045.2 SAMEA7853246
GCA_905218955.2 SAMEA7853245
GCA_905218945.2 SAMEA7853244
GCA_905218965.2 SAMEA7853243
GCA_905218935.2 SAMEA7853241
GCA_905218975.2 SAMEA7853239
GCA_905218905.2 SAMEA7853237
GCA_905218915.2 SAMEA7853236
GCA_905218865.2 SAMEA7853232
GCA_905217865.2 SAMEA7853231
GCA_905217725.2 SAMEA7853230
GCA_905217845.2 SAMEA7853229
GCA_905217905.2 SAMEA7853228
GCA_905217885.2 SAMEA7853227
GCA_905217855.2 SAMEA7853226
GCA_905217755.2 SAMEA7853225
GCA_905217875.2 SAMEA7853224
GCA_905217775.2 SAMEA7853223
GCA_905217895.2 SAMEA7853222
GCA_905217825.2 SAMEA7853221
GCA_905217815.2 SAMEA7853220
GCA_905217785.2 SAMEA7853219
GCF_026168415.1 SAMN06112218
GCF_026167625.1 SAMN25749320
GCF_026153555.1 SAMN31604419
GCF_026153495.1 SAMN31311655
GCF_026153135.1 SAMEA3357157
GCF_026016665.1 SAMN22314499
GCF_026016005.1 SAMN31523650
GCF_026013275.1 SAMN31172240
GCF_026000885.1 SAMD00536217
GCF_026000835.1 SAMD00536216
GCF_025997695.1 SAMD00510808
GCF_025960245.1 SAMN31308932
GCF_025946985.1 SAMN31396910
GCF_025946965.1 SAMN31413558
GCF_025946845.1 SAMN31373057
GCF_025946825.1 SAMN31418373
GCF_025920785.1 SAMEA8550523
GCF_025920085.1 SAMN08714644
GCF_025920065.1 SAMN08714730
GCF_025917765.1 SAMN29490475
GCF_947163785.1 SAMEA111391101
GCF_947164515.1 SAMEA111391102
GCF_025908435.1 SAMN28157411
GCF_025905445.1 SAMN31207303
GCF_025884275.1 SAMN29388304
GCF_025884255.1 SAMN29388305
GCF_025884235.1 SAMN29388306
GCF_025884215.1 SAMN29388307
GCF_025884195.1 SAMN29388308
GCF_025884175.1 SAMN29388309
GCF_025884155.1 SAMN29388310
GCF_025884135.1 SAMN29388311
GCF_025884115.1 SAMN29388312
GCF_025884095.1 SAMN29388314
GCF_025884075.1 SAMN29388315
GCF_025837075.1 SAMN30667246
GCF_025813515.1 SAMN31276742
GCF_025782805.1 SAMN26232717
GCA_025758335.1 SAMN31063831
GCF_025734435.1 SAMN31156880
GCF_025732175.1 SAMN30015118
GCF_025725705.1 SAMN30826912
GCF_025716785.1 SAMN31087429
GCF_025677765.1 SAMN29985365
GCF_025677745.1 SAMN29985366
GCF_946966015.1 SAMEA11350960
GCF_025665355.1 SAMN30903868
GCF_025643175.1 SAMN21211080
GCF_025643115.1 SAMN20924843
GCF_025642315.1 SAMN30999259
GCF_025642295.1 SAMN30996806
GCF_025490535.1 SAMN30957779
GCF_025490515.1 SAMN30959810
GCF_025398695.1 SAMN14792099
GCF_025398435.1 SAMN17815182
GCF_025398355.1 SAMN24145033
GCF_025397975.1 SAMN30825845
GCF_025259665.1 SAMN24523856
GCF_025258665.1 SAMN29161340
GCF_025252425.1 SAMN30711370
GCF_025244645.1 SAMN30636576
GCF_025232435.1 SAMN29187369
GCF_025232415.1 SAMN29187370
GCF_025200575.1 SAMN30466961
GCF_025152765.1 SAMN30672525
GCF_025144525.1 SAMN15813776
GCF_025118455.1 SAMN29397001
GCF_025118435.1 SAMN29397002
GCF_024918875.1 SAMN28173989
GCF_024918855.1 SAMN28173983
GCF_024918835.1 SAMN28174000
GCF_024918475.1 SAMN28174003
GCF_024918455.1 SAMN28173993
GCF_024918435.1 SAMN28174030
GCF_024918315.1 SAMN28173992
GCF_024918175.1 SAMN28173985
GCF_024918095.1 SAMN28174011
GCF_024918075.1 SAMN28174007
GCF_024918055.1 SAMN28174045
GCF_024917935.1 SAMN28173997
GCF_024917915.1 SAMN28174100
GCF_024917875.1 SAMN28174085
GCF_024917855.1 SAMN28174060
GCF_024917835.1 SAMN28174102
GCF_024917755.1 SAMN28174104
GCF_024917695.1 SAMN28174098
GCF_024917595.1 SAMN28174058
GCF_024917575.1 SAMN28173987
GCF_024917555.1 SAMN28174025
GCF_024917515.1 SAMN28174070
GCF_024917495.1 SAMN28174036
GCF_024917435.1 SAMN28173994
GCF_024917415.1 SAMN28174049
GCF_024917295.1 SAMN28174081
GCF_024917255.1 SAMN28174066
GCF_024803465.1 SAMN30408256
GCF_024803445.1 SAMN30408259
GCF_024762135.1 SAMN30403289
GCF_024758605.1 SAMN19717179
GCF_024750575.1 SAMN30381632
GCF_024750555.1 SAMN30381623
GCF_024734755.1 SAMN30333623
GCF_024734295.1 SAMN30333744
GCF_024734275.1 SAMN28054364
GCF_024734255.1 SAMN28054361
GCF_024734235.1 SAMN28054357
GCF_024734215.1 SAMN28054363
GCF_024734195.1 SAMN28054362
GCF_024734175.1 SAMN28054360
GCF_024734155.1 SAMN28054359
GCF_024734135.1 SAMN28054358
GCF_024731085.1 SAMN30309203
GCF_024730945.1 SAMN30309189
GCF_024730825.1 SAMN30309188
GCF_024666505.1 SAMN30176386
GCF_024666265.1 SAMN30176384
GCF_024661995.1 SAMN29482475
GCF_024652925.1 SAMN30160477
GCF_024652825.1 SAMN30160479
GCF_024637995.1 SAMN28422337
GCF_024637895.1 SAMN27028875
GCF_024628885.1 SAMN30114398
GCF_024584475.1 SAMN30074657
GCF_024584455.1 SAMN30074620
GCF_024579815.1 SAMN29856549
GCF_019900325.2 SAMN20362512
GCF_019900345.2 SAMN20362511
GCF_024505665.1 SAMN29785854
GCF_024498895.1 SAMN24790942
GCF_024498655.1 SAMN24394412
GCF_024496265.1 SAMN29894129
GCF_024496205.1 SAMN29889749
GCF_024496185.1 SAMN29889748
GCF_024496165.1 SAMN29889747
GCF_024496145.1 SAMN29889745
GCF_024496125.1 SAMN29889746
GCF_019900305.2 SAMN20362514
GCF_024398905.1 SAMN19036487
GCF_024397375.1 SAMN29762457
GCF_024397235.1 SAMN19931444
GCF_024397075.1 SAMN19931463
GCF_024396895.1 SAMN19931468
GCF_024396875.1 SAMN19931475
GCF_024396855.1 SAMN19931439
GCF_024396595.1 SAMN26148623
GCF_019900805.2 SAMN20362516
GCF_019900785.2 SAMN20362517
GCF_024347815.1 SAMD00446298
GCF_024347795.1 SAMD00446297
GCF_024347755.1 SAMD00446295
GCF_024346895.1 SAMN17174001
GCF_024346855.1 SAMN17173860
GCF_024346815.1 SAMN17173807
GCF_024346775.1 SAMN17173631
GCF_024346735.1 SAMN17173614
GCF_024346695.1 SAMN17173567
GCF_024346655.1 SAMN17173497
GCF_024299245.1 SAMN26245098
GCF_024227055.1 SAMN29499315
GCF_024226755.1 SAMN29499314
GCF_024226435.1 SAMN29499311
GCF_024225115.1 SAMN29499319
GCF_024224875.1 SAMN29499316
GCF_024224355.1 SAMN29499322
GCF_024223795.1 SAMN29499324
GCF_024138975.1 SAMN18477484
GCF_024138755.1 SAMN18145423
GCF_024138415.1 SAMN21479087
GCF_024134525.1 SAMN28890170
GCF_024081805.1 SAMN19589280
GCA_905330975.2 SAMEA8065792
GCA_905330785.2 SAMEA8065772
GCF_023920325.1 SAMN26139404
GCF_023920245.1 SAMN26096228
GCF_023920065.1 SAMN20968387
GCF_023920045.1 SAMN20967708
GCF_023920025.1 SAMN20967641
GCF_023920005.1 SAMN20966683
GCA_905330725.2 SAMEA8065765
GCA_905330985.2 SAMEA8065793
GCA_905330965.2 SAMEA8065791
GCA_905330905.2 SAMEA8065785
GCF_023913595.1 SAMN28986240
GCF_023796915.1 SAMN28922061
GCA_023716445.1 SAMN28907141
GCF_023715985.1 SAMN28907142
GCF_023715965.1 SAMN28907143
GCF_023704035.1 SAMN15547540
GCF_023704015.1 SAMN15547541
GCA_023703995.1 SAMN15547545
GCF_023703975.1 SAMN15547568
GCF_023703955.1 SAMN15547571
GCF_023703935.1 SAMN15547569
GCF_023703915.1 SAMN15547553
GCF_023703895.1 SAMN15547546
GCF_023703875.1 SAMN15547544
GCF_023703855.1 SAMN15547552
GCF_023703835.1 SAMN15547548
GCF_023703815.1 SAMN15547547
GCF_023658245.1 SAMN28680533
GCF_023658225.1 SAMN28680534
GCF_023658205.1 SAMN28680535
GCF_023658185.1 SAMN28680536
GCF_023658165.1 SAMN28680537
GCF_023658145.1 SAMN28680538
GCF_023658125.1 SAMN28680539
GCF_023658105.1 SAMN28680540
GCF_023657895.1 SAMN28703759
GCF_023657875.1 SAMN28703760
GCF_023657855.1 SAMN28703761
GCF_023657835.1 SAMN28703762
GCF_023657815.1 SAMN28703763
GCF_023657795.1 SAMN28703765
GCF_023657735.1 SAMN28703768
GCF_023657715.1 SAMN28703769
GCF_023657695.1 SAMN28703770
GCF_023657675.1 SAMN28703771
GCF_023657655.1 SAMN28703772
GCF_023657635.1 SAMN28703773
GCF_023657615.1 SAMN28703774
GCF_023653925.1 SAMN18537421
GCF_023650855.1 SAMN23802440
GCF_023650835.1 SAMN23799605
GCF_023612435.1 SAMN18062622
GCF_023612395.1 SAMN18062624
GCF_023612215.1 SAMN13968567
GCA_905337955.2 SAMEA8158499
GCF_903993025.2 SAMEA7082325
GCF_903993005.2 SAMEA7082334
GCF_903993155.2 SAMEA7082335
GCA_905335645.2 SAMEA8158478
GCA_905337985.2 SAMEA8158500
GCF_905335825.2 SAMEA8158484
GCA_905335465.2 SAMEA8158460
GCA_905337875.2 SAMEA8158502
GCA_905335755.2 SAMEA8158496
GCF_903993165.2 SAMEA7082317
GCF_903993055.2 SAMEA7082333
GCA_905335605.2 SAMEA8158479
GCA_905337865.2 SAMEA8158521
GCA_905335795.2 SAMEA8158483
GCA_905335815.2 SAMEA8158465
GCA_905337815.2 SAMEA8158508
GCA_905337945.2 SAMEA8158518
GCA_905338005.2 SAMEA8158512
GCF_903993095.2 SAMEA7082330
GCF_903993205.2 SAMEA7082320
GCA_905337825.2 SAMEA8158522
GCA_905335615.2 SAMEA8158480
GCF_903993015.2 SAMEA7082327
GCA_905335535.2 SAMEA8158462
GCA_905337975.2 SAMEA8158504
GCA_905335705.2 SAMEA8158488
GCA_905335555.2 SAMEA8158466
GCF_903993145.2 SAMEA7082332
GCF_903993185.2 SAMEA7082328
GCF_905338025.2 SAMEA8158514
GCA_905335475.2 SAMEA8158468
GCF_903993215.2 SAMEA7082331
GCA_905337835.2 SAMEA8158501
GCA_905335595.2 SAMEA8158473
GCA_905335575.2 SAMEA8158474
GCA_905337935.2 SAMEA8158517
GCA_905337925.2 SAMEA8158509
GCA_905338015.2 SAMEA8158513
GCA_905337895.2 SAMEA8158507
GCF_903993105.2 SAMEA7082324
GCA_905337915.2 SAMEA8158498
GCA_905335655.2 SAMEA8158475
GCA_905335565.2 SAMEA8158481
GCF_903993085.2 SAMEA7082323
GCA_905335495.2 SAMEA8158471
GCA_905337855.2 SAMEA8158510
GCA_905335805.2 SAMEA8158497
GCA_905337885.2 SAMEA8158516
GCA_905337965.2 SAMEA8158519
GCA_905335725.2 SAMEA8158492
GCA_905335715.2 SAMEA8158490
GCA_905337905.2 SAMEA8158503
GCF_903993035.2 SAMEA7082326
GCA_905335545.2 SAMEA8158469
GCA_905335525.2 SAMEA8158461
GCF_903993065.2 SAMEA7082336
GCA_905335635.2 SAMEA8158476
GCA_905335765.2 SAMEA8158495
GCA_905335485.2 SAMEA8158467
GCA_905335665.2 SAMEA8158482
GCF_903993115.2 SAMEA7082322
GCA_905330355.2 SAMEA8065725
GCA_905329805.2 SAMEA8065669
GCA_905329695.2 SAMEA8065852
GCA_905329675.2 SAMEA8065847
GCA_905331455.2 SAMEA8065769
GCA_905333985.2 SAMEA8158448
GCA_905331315.2 SAMEA8065838
GCA_905331135.2 SAMEA8065807
GCA_905322495.2 SAMEA8065683
GCF_905330835.2 SAMEA8065780
GCA_905329625.2 SAMEA8065824
GCA_905331235.2 SAMEA8065816
GCF_905333885.2 SAMEA8158457
GCA_905330505.2 SAMEA8065741
GCF_905331345.2 SAMEA8065841
GCA_905330375.2 SAMEA8065731
GCA_905331225.2 SAMEA8065823
GCA_905331165.2 SAMEA8065811
GCA_905329815.2 SAMEA8065670
GCA_905329665.2 SAMEA8065848
GCA_905330105.2 SAMEA8065701
GCF_905333855.2 SAMEA8158452
GCA_905330405.2 SAMEA8065726
GCA_905330395.2 SAMEA8065729
GCA_905329825.2 SAMEA8065671
GCA_905330595.2 SAMEA8065749
GCA_905330925.2 SAMEA8065787
GCA_905323025.2 SAMEA8065695
GCA_905330685.2 SAMEA8065762
GCA_905330465.2 SAMEA8065736
GCA_905331325.2 SAMEA8065839
GCA_905329765.2 SAMEA8065858
GCA_905329725.2 SAMEA8065854
GCA_905330855.2 SAMEA8065778
GCA_905330455.2 SAMEA8065734
GCA_905330195.2 SAMEA8065708
GCA_905330205.2 SAMEA8065709
GCA_905329795.2 SAMEA8065859
GCA_905330365.2 SAMEA8065728
GCA_905330175.2 SAMEA8065707
GCA_905331085.2 SAMEA8065802
GCA_905330645.2 SAMEA8065755
GCA_905322505.2 SAMEA8065690
GCA_905329645.2 SAMEA8065844
GCA_905331445.2 SAMEA8065760
GCA_905330945.2 SAMEA8065789
GCA_905330475.2 SAMEA8065738
GCA_905329775.2 SAMEA8065855
GCA_905330315.2 SAMEA8065721
GCA_905329685.2 SAMEA8065849
GCA_905329615.2 SAMEA8065827
GCA_905330915.2 SAMEA8065786
GCA_905331125.2 SAMEA8065806
GCA_905330185.2 SAMEA8065710
GCA_905331275.2 SAMEA8065835
GCA_905330165.2 SAMEA8065705
GCA_905333865.2 SAMEA8158445
GCA_905331105.2 SAMEA8065804
GCA_905329785.2 SAMEA8065853
GCA_905329895.2 SAMEA8065679
GCA_905329755.2 SAMEA8065857
GCA_905331115.2 SAMEA8065805
GCA_905333915.2 SAMEA8158442
GCA_905330585.2 SAMEA8065746
GCA_905333905.2 SAMEA8158440
GCA_905322465.2 SAMEA8065685
GCA_905330445.2 SAMEA8065735
GCA_905329515.2 SAMEA8065817
GCA_905333975.2 SAMEA8158446
GCA_905331375.2 SAMEA8065842
GCA_905330675.2 SAMEA8065757
GCA_905331405.2 SAMEA8065722
GCA_905322545.2 SAMEA8065759
GCA_905330085.2 SAMEA8065703
GCF_905322525.2 SAMEA8065686
GCA_905329585.2 SAMEA8065828
GCA_905331045.2 SAMEA8065798
GCA_905330255.2 SAMEA8065714
GCA_905329545.2 SAMEA8065830
GCA_905330565.2 SAMEA8065747
GCA_905331035.2 SAMEA8065797
GCF_905329555.2 SAMEA8065822
GCA_905331385.2 SAMEA8065678
GCA_905329595.2 SAMEA8065825
GCA_905330695.2 SAMEA8065761
GCA_905330075.2 SAMEA8065697
GCA_905330625.2 SAMEA8065753
GCA_905329905.2 SAMEA8065680
GCA_905330525.2 SAMEA8065743
GCA_905331145.2 SAMEA8065808
GCA_905329525.2 SAMEA8065819
GCA_905329575.2 SAMEA8065829
GCA_905331425.2 SAMEA8065739
GCA_905330135.2 SAMEA8065699
GCA_905329715.2 SAMEA8065850
GCF_905330865.2 SAMEA8065781
GCA_905333935.2 SAMEA8158441
GCA_905331175.2 SAMEA8065810
GCA_905333965.2 SAMEA8158456
GCA_905330635.2 SAMEA8065754
GCA_905330095.2 SAMEA8065702
GCA_905330435.2 SAMEA8065733
GCA_905330325.2 SAMEA8065720
GCA_905330495.2 SAMEA8065740
GCA_905329605.2 SAMEA8065820
GCA_905331025.2 SAMEA8065796
GCA_905329705.2 SAMEA8065851
GCA_905331415.2 SAMEA8065688
GCA_905331395.2 SAMEA8065727
GCA_905330225.2 SAMEA8065711
GCA_905330305.2 SAMEA8065672
GCA_905329535.2 SAMEA8065821
GCA_905331195.2 SAMEA8065813
GCA_905330605.2 SAMEA8065744
GCA_905329735.2 SAMEA8065856
GCA_905232745.2 SAMEA7962783
GCA_905232905.2 SAMEA7962798
GCA_905232825.2 SAMEA7962790
GCA_905232735.2 SAMEA7962782
GCA_905232915.2 SAMEA7962800
GCA_905232375.2 SAMEA7962728
GCA_905232835.2 SAMEA7962792
GCF_924899195.1 SAMEA11998055
GCF_023588825.1 SAMN28596439
GCF_023573885.1 SAMN28095478
GCF_023573865.1 SAMN28095479
GCF_023573845.1 SAMN28095480
GCF_023573825.1 SAMN28095481
GCF_023573805.1 SAMN28095482
GCF_023573785.1 SAMN28095483
GCF_023573765.1 SAMN28095484
GCF_023573745.1 SAMN28095485
GCF_023573725.1 SAMN28095486
GCF_023573705.1 SAMN28095488
GCF_023573685.1 SAMN28095489
GCF_023573665.1 SAMN28095490
GCF_023573645.1 SAMN28095491
GCF_023573605.1 SAMN28535410
GCF_023573585.1 SAMN28515229
GCF_023572965.1 SAMN28546263
GCA_023539115.1 SAMN28448989
GCA_023539095.1 SAMN28448990
GCA_023539075.1 SAMN28448991
GCA_023539055.1 SAMN28448992
GCF_023538995.1 SAMN28404989
GCF_023538975.1 SAMN28404990
GCF_023538955.1 SAMN28404992
GCF_023538935.1 SAMN28404993
GCF_023518335.1 SAMN17214426
GCF_023518315.1 SAMN17214286
GCF_023518295.1 SAMN16992823
GCF_022313415.2 SAMN25845549
GCF_023379965.1 SAMN28105843
GCF_023374245.1 SAMN27722563
GCF_023374225.1 SAMN27722574
GCF_023374205.1 SAMN27722573
GCF_023374185.1 SAMN27722567
GCF_023374165.1 SAMN27722566
GCF_023373565.1 SAMN20856570
GCF_023373545.1 SAMN20856063
GCF_023347685.1 SAMN25087049
GCF_023347665.1 SAMN25087048
GCF_018283575.2 SAMN18878040
GCF_023272735.1 SAMN26678607
GCA_905217735.2 SAMEA7853249
GCF_023205055.1 SAMN27737809
GCF_023205035.1 SAMN27737682
GCF_023184535.1 SAMN27594434
GCA_023117055.1 SAMN19698109
