Enterobacter_hormaechei | número de entradas: 255 | date: 2023-05-03 10:42:58.720271
GCA_029873415.1 SAMN34233930
GCF_017161865.1 SAMN17615669
GCF_017161845.1 SAMN17615671
GCF_017161825.1 SAMN17615673
GCF_017161805.1 SAMN17615674
GCF_017161785.1 SAMN17615670
GCF_017161765.1 SAMN17615668
GCF_017161745.1 SAMN17615672
GCF_017161725.1 SAMN17615675
GCF_017161605.1 SAMN17615676
GCF_016939555.1 SAMN16933270
GCF_016864155.1 SAMN12999995
GCF_016864135.1 SAMN12999974
GCF_016864035.1 SAMN12999969
GCF_016767755.1 SAMN14449833
GCF_016767735.1 SAMN14409014
GCF_016745355.1 SAMN17252997
GCF_016725825.1 SAMN16357247
GCF_016126855.1 SAMN17054651
GCF_014931695.1 SAMN14828832
GCF_015910385.1 SAMN13747507
GCF_015910365.1 SAMN13747508
GCF_015910345.1 SAMN13747520
GCF_015910325.1 SAMN13747521
GCF_015910285.1 SAMN13747510
GCF_015910265.1 SAMN13747511
GCF_015910245.1 SAMN13747512
GCF_015910205.1 SAMN13747519
GCF_015535675.1 SAMN16233514
GCF_015535055.1 SAMN16707732
GCF_015238615.1 SAMN13832016
GCF_015137995.1 SAMD00195982
GCF_014771415.1 SAMN14450178
GCF_014117285.1 SAMN15648651
GCF_013873945.1 SAMN15589938
GCF_013873655.1 SAMN15589925
GCF_013873515.1 SAMN15589926
GCF_013747035.1 SAMN15148653
GCF_013744415.1 SAMN15148534
GCF_013743935.1 SAMN15148545
GCF_013743755.1 SAMN15148546
GCF_013743295.1 SAMN15148549
GCF_013742375.1 SAMN15148572
GCF_013740655.1 SAMN15148635
GCF_013739595.1 SAMN15148676
GCF_013738375.1 SAMN15148580
GCF_013734915.1 SAMN15148666
GCF_013734275.1 SAMN15148671
GCF_013731155.1 SAMN15148712
GCF_013726395.1 SAMN15148743
GCF_013635495.1 SAMN15148450
GCF_013635255.1 SAMN15148453
GCF_013629675.1 SAMN15148460
GCF_013629455.1 SAMN15148464
GCF_013629235.1 SAMN15148465
GCF_013625795.1 SAMN15148471
GCF_013625575.1 SAMN15148476
GCF_013625435.1 SAMN15148478
GCF_013625265.1 SAMN15148488
GCF_013625115.1 SAMN15148493
GCF_013624995.1 SAMN15148505
GCF_013624605.1 SAMN15148511
GCF_013046845.1 SAMN14534668
GCF_012975085.1 SAMN10107915
GCF_012562255.1 SAMN14492121
GCF_011045355.1 SAMN14151378
GCF_011045335.1 SAMN14142412
GCF_011044215.1 SAMN14132375
GCF_010319625.1 SAMD00167169
GCF_009930935.1 SAMN08554725
GCF_009930835.1 SAMN07692716
GCF_009905155.1 SAMN13757525
GCF_009834325.1 SAMN10654518
GCF_009738085.1 SAMN10219678
GCF_009728975.1 SAMN13335391
GCF_009497055.1 SAMN13022768
GCF_008931785.1 SAMN12713636
GCF_008931645.1 SAMN12289303
GCF_008931585.1 SAMN12289289
GCF_008931525.1 SAMN12289291
GCF_008931405.1 SAMN12289339
GCF_008931325.1 SAMN12289368
GCF_008693905.1 SAMN11056357
GCF_008505035.1 SAMN12725416
GCF_003964795.2 SAMN10525000
GCF_008124025.1 SAMN12603274
GCF_008123985.1 SAMN12603275
GCF_007556795.1 SAMN12306076
GCF_006385655.1 SAMN10502115
GCF_900497145.1 SAMEA4785257
GCF_003965345.2 SAMN09845189
GCF_004118875.1 SAMN10755318
GCF_900635705.1 SAMEA2709017
GCF_003051945.2 SAMN08027257
GCF_003660125.1 SAMN10174734
GCF_003586025.1 SAMN07988874
GCF_003444755.1 SAMN06344228
GCF_003428425.1 SAMN08027258
GCF_003408595.1 SAMN04448499
GCF_003408575.1 SAMN04448498
GCF_003408555.1 SAMN04448506
GCF_003382725.1 SAMN09071586
GCF_003288475.1 SAMN04014879
GCF_003264955.1 SAMN09425565
GCF_003254805.1 SAMN09389154
GCF_003186565.1 SAMN06887342
GCF_003186415.1 SAMN05510455
GCF_003073995.1 SAMN07291525
GCF_900322715.1 SAMEA104700146
GCF_002968455.1 SAMN07291508
GCF_002237465.1 SAMN06765483
GCF_001874505.1 SAMN03733727
GCF_001729785.1 SAMN05581746
GCF_001729745.1 SAMN05581748
GCF_001729725.1 SAMN05581751
GCF_001729705.1 SAMN05581749
GCF_000814125.3 SAMN03067414
GCF_000807405.2 SAMN03067415
GCF_000807425.2 SAMN03067417
GCF_001022255.1 SAMN03733830
GCF_001022075.1 SAMN03733769
GCF_001022055.1 SAMN03733827
GCF_001022015.1 SAMN03733748
GCF_000814225.1 SAMN03067418
GCF_000814205.1 SAMN03067416
GCF_000750275.1 SAMN02713646
GCF_000750225.1 SAMN02713683
